72649 2018-08-20 12:00:00Z
AirPressure [MB],Altitude [m],InSituAirTemperature [Cel],DewPoint [Cel],Speed [m.s-1],Direction [deg]
5.8,33408.797,-34.890007,-73.89001,NaN,NaN
6.7,32991.2,-35.489998,-73.49,NaN,NaN
7.5,32619.996,-38.489998,-75.49,NaN,NaN
9.6,31645.604,-39.090004,-76.090004,11.3,85.0
10.0,31459.998,-40.689995,-77.689995,11.3,85.0
10.4,31274.398,-41.489998,-77.49,11.3,85.0
11.8,30624.797,-40.890007,-75.89001,7.2,90.0
16.8,28304.797,-48.090004,-74.090004,3.0,35.0
18.8,27376.799,-46.890007,-72.89001,6.6,50.0
20.0,26820.0,-49.090004,-73.090004,2.5,75.0
21.6,26397.602,-50.090004,-73.090004,6.1,105.0
25.1,25473.6,-50.29,-72.29,7.7,110.0
30.0,24180.0,-52.689995,-74.689995,3.6,145.0
31.8,23885.7,-54.29,-77.29,3.6,145.0
37.8,22904.7,-53.489998,-76.49,3.6,145.0
45.3,21678.45,-57.489998,-77.49,3.6,215.0
50.0,20910.0,-57.689995,-79.689995,3.0,300.0
61.8,19659.2,-58.090004,-79.090004,2.5,290.0
65.3,19288.2,-56.890007,-77.89001,5.6,270.0
70.0,18790.0,-58.489998,-80.49,10.2,260.0
71.7,18664.2,-59.489998,-81.49,9.7,250.0
76.6,18301.6,-59.29,-81.29,8.7,270.0
78.9,18131.398,-61.29,-83.29,9.2,240.0
85.5,17643.0,-61.489998,-81.49,8.7,255.0
91.4,17206.4,-59.689995,-80.689995,6.6,260.0
100.0,16570.0,-62.890007,-82.89001,15.4,280.0
106.0,16267.6,-61.29,-82.29,15.4,280.0
111.0,16015.6,-61.890007,-82.89001,13.8,240.0
116.0,15763.602,-60.890007,-82.89001,13.8,240.0
120.0,15562.0,-61.890007,-83.89001,13.8,240.0
126.0,15259.599,-59.689995,-82.689995,18.0,260.0
131.0,15007.6,-59.29,-81.29,18.0,260.0
143.0,14402.801,-60.489998,-82.49,23.1,235.0
150.0,14050.0,-60.29,-83.29,23.1,235.0
151.0,14013.799,-60.29,-83.29,23.1,235.0
160.0,13688.0,-58.890007,-82.89001,24.1,225.0
163.0,13579.4,-59.890007,-84.89001,24.1,225.0
175.0,13145.0,-57.090004,-83.689995,26.7,230.0
187.0,12710.601,-55.689995,-83.689995,32.4,205.0
193.0,12493.4,-55.29,-66.29,26.2,210.0
197.0,12348.601,-56.689995,-61.090004,26.2,210.0
200.0,12240.0,-57.689995,-61.29,26.2,210.0
201.0,12210.999,-57.689995,-61.189995,25.7,210.0
212.0,11892.0,-54.890007,-59.890007,25.7,210.0
224.0,11544.0,-51.890007,-55.79,25.7,210.0
234.0,11254.0,-49.29,-55.29,22.1,205.0
242.0,11022.0,-47.090004,-54.090004,22.1,205.0
250.0,10790.0,-45.29,-50.29,22.1,205.0
257.0,10616.4,-43.689995,-48.390007,22.1,205.0
300.0,9550.0,-34.489998,-38.590004,12.8,215.0
361.0,8275.1,-23.489996,-27.090002,13.3,220.0
400.0,7460.0,-19.289999,-22.090002,6.6,250.0
500.0,5770.0005,-10.090002,-11.790014,5.1,310.0
515.0,5570.9507,-8.690008,-10.690008,5.1,210.0
522.0,5478.06,-8.489996,-9.489996,5.1,210.0
537.0,5279.0107,-7.4899964,-8.790014,5.1,210.0
544.0,5186.1196,-8.090002,-8.690008,5.1,210.0
573.0,4801.291,-6.6900086,-7.9899964,9.2,160.0
588.0,4602.24,-5.4899964,-8.790014,9.2,160.0
602.0,4416.4595,-3.8899903,-8.88999,7.2,105.0
610.0,4310.3,-2.8899903,-10.88999,7.2,105.0
677.0,3421.2095,3.0100036,-4.9899964,11.3,150.0
688.0,3275.24,3.2099853,-4.7900147,11.3,150.0
696.0,3169.08,3.2099853,-2.7900147,8.7,125.0
700.0,3116.0,3.6100097,-2.3899903,8.7,125.0
701.0,3105.2668,3.6100097,-2.3899903,8.7,125.0
714.0,2965.7334,4.2099853,2.4099975,8.7,125.0
737.0,2718.8667,5.8099914,4.6100097,9.2,105.0
773.0,2332.4668,9.010004,6.2099853,9.2,100.0
795.0,2096.3335,10.61001,8.510004,7.7,105.0
834.0,1677.7332,13.809992,9.209986,8.7,115.0
850.0,1506.0,14.61001,11.809992,8.2,110.0
872.0,1293.6267,16.409998,12.809992,6.1,105.0
888.0,1139.1733,17.409998,15.409998,6.1,105.0
916.0,868.87994,19.61001,15.809992,5.1,110.0
925.0,782.0,19.409998,16.909998,4.1,100.0
930.0,736.1667,19.409998,17.510004,4.1,100.0
948.0,571.1666,20.209986,17.909998,5.6,45.0
959.0,470.33334,19.209986,17.809992,5.6,45.0
978.0,296.1667,20.61001,18.409998,3.0,20.0
979.0,287.0,20.61001,19.11001,3.0,20.0
