91765 2018-06-16 12:00:00Z
AirPressure [MB],Altitude [m],InSituAirTemperature [Cel],DewPoint [Cel],Speed [m.s-1],Direction [deg]
7.3,32273.902,-41.689995,-77.689995,11.3,340.0
8.4,31771.201,-44.689995,-79.689995,11.3,340.0
9.0,31497.0,-44.489998,-80.49,11.3,340.0
10.0,31040.0,-48.29,-82.29,11.3,340.0
10.2,30948.602,-49.29,-83.29,11.3,340.0
11.0,30583.0,-50.29,-83.29,11.3,340.0
12.1,30080.3,-47.090004,-82.090004,11.3,340.0
14.1,29166.3,-48.489998,-82.49,11.3,340.0
16.0,28298.0,-46.29,-81.29,14.4,70.0
18.0,27384.0,-49.090004,-83.090004,14.4,70.0
20.0,26470.0,-49.489998,-82.49,14.4,70.0
22.1,25919.8,-49.29,-82.29,14.4,70.0
23.6,25526.799,-52.29,-83.29,14.4,70.0
25.6,25002.8,-53.890007,-82.89001,15.4,95.0
27.4,24531.2,-52.29,-82.29,15.4,95.0
30.0,23850.0,-53.489998,-81.49,15.4,95.0
31.9,23546.951,-53.489998,-80.49,15.4,95.0
35.5,22972.75,-60.890007,-80.89001,15.4,95.0
37.3,22685.65,-59.489998,-79.49,15.4,95.0
38.9,22430.45,-62.689995,-80.689995,15.4,95.0
41.0,22095.5,-63.489998,-80.49,9.7,20.0
44.5,21537.25,-61.090004,-78.090004,9.7,20.0
47.8,21010.9,-65.29,-79.29,9.7,20.0
50.0,20660.0,-65.090004,-79.090004,9.7,20.0
50.4,20619.6,-65.090004,-79.090004,9.7,20.0
54.3,20225.7,-68.89001,-80.89001,9.7,20.0
62.9,19357.1,-67.29,-79.29,11.3,225.0
70.0,18640.0,-71.689995,-81.689995,11.3,225.0
77.0,18161.668,-75.090004,-84.090004,8.7,240.0
77.1,18154.834,-75.090004,-84.090004,8.7,240.0
80.4,17929.334,-74.090004,-84.090004,11.8,245.0
83.3,17731.166,-78.090004,-84.090004,11.8,245.0
86.9,17485.166,-79.689995,-84.090004,11.8,245.0
90.4,17246.0,-78.89001,-84.090004,19.0,230.0
95.0,16931.666,-81.49,-84.090004,19.0,230.0
100.0,16590.0,-79.89001,-84.090004,14.4,285.0
106.0,16308.0,-78.689995,-83.89001,14.4,285.0
111.0,16073.0,-79.29,-83.89001,14.4,285.0
123.0,15509.0,-75.89001,-83.89001,20.0,215.0
129.0,15227.0,-74.29,-81.29,20.0,215.0
150.0,14240.0,-66.689995,-75.689995,15.4,220.0
162.0,13812.801,-64.49,-73.49,13.8,250.0
196.0,12602.4,-54.689995,-65.689995,12.8,250.0
200.0,12460.0,-53.489998,-65.49,12.8,250.0
234.0,11453.6,-44.090004,-58.090004,11.3,295.0
250.0,10980.0,-40.29,-60.29,9.7,290.0
255.0,10853.0,-39.090004,-60.090004,9.2,280.0
267.0,10548.199,-37.29,-57.29,11.3,225.0
300.0,9710.0,-29.689993,-53.689995,15.4,225.0
308.0,9541.2,-27.890005,-51.890007,15.4,225.0
330.0,9077.0,-26.489996,-43.489998,22.1,205.0
355.0,8549.5,-22.890005,-35.890007,15.4,205.0
397.0,7663.2993,-14.88999,-31.890005,19.5,210.0
400.0,7600.0,-14.690008,-35.689995,19.5,210.0
403.0,7548.4004,-14.88999,-40.890007,19.5,210.0
408.0,7462.4,-15.290014,-42.29,19.5,210.0
472.0,6361.5996,-7.4899964,-44.489998,9.2,220.0
494.0,5983.201,-5.6900086,-39.689995,8.7,230.0
500.0,5880.0,-4.8899903,-39.890007,8.7,230.0
509.0,5757.8247,-3.4899964,-40.489998,8.7,235.0
524.0,5554.2007,-3.0900025,-29.090002,10.2,215.0
581.0,4780.426,3.4099975,-26.590002,7.7,250.0
601.0,4508.925,4.2099853,-19.789999,7.2,260.0
606.0,4441.051,3.4099975,-16.590002,7.2,260.0
610.0,4386.7495,1.8099915,-9.190008,7.2,260.0
615.0,4318.8755,2.0100036,-8.989996,7.2,260.0
635.0,4047.3745,4.4099975,-11.590002,7.2,260.0
642.0,3952.35,5.0100036,-8.989996,1.0,330.0
649.0,3857.3252,5.8099914,-14.190008,1.0,330.0
691.0,3287.1753,9.409998,-13.590002,0.5,320.0
700.0,3165.0,9.809992,-11.190008,0.5,320.0
716.0,2990.2803,11.010004,-7.9899964,0.5,320.0
748.0,2640.8403,14.409998,-8.590002,3.0,355.0
774.0,2356.9192,15.409998,-7.5900025,4.1,355.0
797.0,2105.7603,17.010004,3.0100036,4.6,325.0
800.0,2072.9995,16.61001,5.6100097,4.6,325.0
807.0,1996.5603,14.409998,7.4099975,4.6,325.0
814.0,1920.1196,13.209986,8.209986,4.1,345.0
825.0,1800.0005,14.61001,12.709986,4.1,345.0
845.0,1581.6008,16.61001,16.010004,4.6,25.0
850.0,1527.0,16.809992,16.309992,4.6,25.0
910.0,942.9999,20.61001,18.409998,3.0,105.0
925.0,797.0,21.010004,19.409998,4.1,120.0
936.0,696.68005,21.61001,20.209986,5.1,135.0
1000.0,112.99999,26.809992,23.010004,6.1,135.0
1012.0,2.9999998,27.409998,23.809992,5.1,145.0
